City,Date,Level,Path
"Houston, Texas","2020/03/28","0.9708977777336258","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T195850_20200328T200350_12732_01_010302_20200328T204347.nc"
"Chicago, Illinois","2020/03/28","5.4374533938243985","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T182350_20200328T182850_12731_01_010302_20200328T202319.nc"
"New York City, New York","2020/03/28","3.1891122489469126","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200328T182350_20200328T182850_12731_01_010302_20200328T202319.nc"
"Paris, France","2020/03/29","0.5009228061680915","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T111850_20200329T112350_12741_01_010302_20200329T120651.nc"
"Berlin, Germany","2020/03/29","0.4219374804961262","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T111850_20200329T112350_12741_01_010302_20200329T120651.nc"
"London, England","2020/03/29","0.3552903426680132","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T112350_20200329T112850_12741_01_010302_20200329T120900.nc"
"Los Angelos, California","2020/04/02","0.5207796066315495","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T214850_20200402T215350_12804_01_010302_20200402T222758.nc"
"Paris, France","2020/03/30","0.3735915379365906","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T124350_20200330T124850_12756_01_010302_20200330T133521.nc"
"Berlin, Germany","2020/03/30","0.7832990377210081","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T124350_20200330T124850_12756_01_010302_20200330T133521.nc"
"London, England","2020/03/30","0.6731068360750214","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200330T124350_20200330T124850_12756_01_010302_20200330T133521.nc"
"Chicago, Illinois","2020/03/29","0.4314598581913742","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T180350_20200329T180850_12745_01_010302_20200329T184230.nc"
"New York City, New York","2020/03/29","1.906343866721727","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T180350_20200329T180850_12745_01_010302_20200329T184230.nc"
"Atlanta, Georgia","2020/03/29","0.7192481352831237","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200329T180350_20200329T180850_12745_01_010302_20200329T184230.nc"
"Paris, France","2020/04/02","0.6840026726422366","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T114350_20200402T114850_12798_01_010302_20200402T123519.nc"
"Berlin, Germany","2020/04/02","0.8214710014726734","C:\Users\Darin\Desktop\coronavirus script\datafiles\S5P_NRTI_L2__NO2____20200402T114350_20200402T114850_12798_01_010302_20200402T123519.nc"
